Student ID,Name,Gender,Year,Skills,Backlogs,Projects Completed,Internships,Companies Placed,Company Type,Domain,Salary,Higher Studies,Higher Studies Field,Location
1,Aryan Ghosal,Male,2023,"Digital Marketing, ML/AI, Blockchain",1,6,2,TCS,Established,Automotive,2271743,No,,Ahmedabad
2,Kunal Pillai,Male,2023,"Blockchain, Python, Networking",0,10,2,Meta,Established,E-commerce,1386191,No,,Delhi
3,Dev Gupta,Male,2023,C++,1,5,0,,,,0,No,,Kolkata
4,Manish Yadav,Male,2023,"DevOps, Networking",1,8,4,Zomato,Startup,FinTech,1011924,No,,Chennai
5,Isha Singh,Female,2023,"Web Dev (Full Stack), ML/AI, DevOps",0,8,3,Tata Motors,Established,IT Services,1017889,No,,Bangalore
6,Isha Tiwari,Female,2022,"Java, Embedded Systems",0,6,3,Google,Established,Automotive,1733538,Yes,MS (USA/EU),Ahmedabad
7,Rohan Chakraborty,Male,2025,Web Dev (Full Stack),0,10,4,Google,Established,Consulting,831038,No,,Ahmedabad
8,Tanu Sharma,Female,2022,"Java, DevOps, Digital Marketing",2,10,3,Google,Established,FinTech,984788,No,,Ahmedabad
9,Siddharth Pillai,Male,2023,"Data Science, Web Dev (Full Stack), Blockchain, Networking",2,7,4,Cognizant,Established,Consulting,1195199,No,,Bangalore
10,Rani Jain,Female,2025,"Networking, Data Science, C++",1,8,4,TCS,Established,Automotive,1986634,No,,Pune
11,Jyoti Singh,Female,2024,"Blockchain, Data Science, Cloud (AWS/Azure/GCP), Python",1,6,3,L&T Technology Services,Established,Logistics,1042873,Yes,Data Science,Bangalore
12,Rohan Roy,Male,2023,"Data Science, C++, Cybersecurity",1,8,1,Capgemini,Established,Manufacturing,354179,No,,Kolkata
13,Shreya Das,Female,2023,"Networking, UI/UX Design, Embedded Systems",1,6,3,Capgemini,Established,Healthcare,1928524,Yes,Cybersecurity,Mumbai
14,Priyanshu Prakash,Male,2023,"Embedded Systems, Python, DevOps",0,1,3,Capgemini,Established,EdTech,1037169,No,,Hyderabad
15,Rohan Yadav,Male,2025,"Blockchain, UI/UX Design, Cybersecurity",1,1,1,,,,0,Yes,AI/ML,Bangalore
16,Krish Mishra,Male,2022,"Java, Data Science, DevOps",1,3,0,,,,0,Yes,MBA,Bangalore
17,Rohan Roy,Male,2024,"Data Science, Blockchain, Cybersecurity, Cloud (AWS/Azure/GCP)",2,10,3,Dream11,Startup,Manufacturing,701222,Yes,MS (USA/EU),Hyderabad
18,Vivaan Tiwari,Male,2025,"Python, Data Science, ML/AI",2,10,3,L&T Technology Services,Established,Manufacturing,2175567,No,,Delhi
